DATAFLOW,LAST UPDATE,freq,siec,partner,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:NRG_IND_IDOGAS(1.0),29/09/22 23:00:00,A,G3000,DZ,PC,ES,2016,57.05,s
ESTAT:NRG_IND_IDOGAS(1.0),29/09/22 23:00:00,A,G3000,DZ,PC,ES,2017,48.61,s
ESTAT:NRG_IND_IDOGAS(1.0),29/09/22 23:00:00,A,G3000,DZ,PC,ES,2018,51.55,s
ESTAT:NRG_IND_IDOGAS(1.0),29/09/22 23:00:00,A,G3000,DZ,PC,ES,2019,33.60,s
ESTAT:NRG_IND_IDOGAS(1.0),29/09/22 23:00:00,A,G3000,DZ,PC,ES,2020,29.61,s
ESTAT:NRG_IND_IDOGAS(1.0),29/09/22 23:00:00,A,G3000,DZ,PC,FI,2015,0.00,s
ESTAT:NRG_IND_IDOGAS(1.0),29/09/22 23:00:00,A,G3000,DZ,PC,FI,2016,0.00,s
ESTAT:NRG_IND_IDOGAS(1.0),29/09/22 23:00:00,A,G3000,DZ,PC,FI,2017,0.00,s
ESTAT:NRG_IND_IDOGAS(1.0),29/09/22 23:00:00,A,G3000,DZ,PC,FI,2018,0.00,s
ESTAT:NRG_IND_IDOGAS(1.0),29/09/22 23:00:00,A,G3000,DZ,PC,FI,2019,0.00,s
ESTAT:NRG_IND_IDOGAS(1.0),29/09/22 23:00:00,A,G3000,DZ,PC,FI,2020,0.00,s
ESTAT:NRG_IND_IDOGAS(1.0),29/09/22 23:00:00,A,G3000,DZ,PC,FR,2015,9.42,s
ESTAT:NRG_IND_IDOGAS(1.0),29/09/22 23:00:00,A,G3000,DZ,PC,FR,2016,10.83,s
ESTAT:NRG_IND_IDOGAS(1.0),29/09/22 23:00:00,A,G3000,DZ,PC,FR,2017,7.92,s
ESTAT:NRG_IND_IDOGAS(1.0),29/09/22 23:00:00,A,G3000,DZ,PC,FR,2018,7.64,s
ESTAT:NRG_IND_IDOGAS(1.0),29/09/22 23:00:00,A,G3000,DZ,PC,FR,2019,7.03,s
ESTAT:NRG_IND_IDOGAS(1.0),29/09/22 23:00:00,A,G3000,DZ,PC,FR,2020,8.13,s
