"country","year","gdp_capita","population","urban_pop","life_exp","eco_freedom","employment_ratio","gov_edu_expend","gov_health_expend","literacy","poverty","child_mortality","hunger"
"MHL","1990",1952.340114,47300,0.65054,NA,NA,NA,NA,NA,NA,NA,0.0503,NA
"MIC","1990",2553.556483,3926629331,0.3634291292,64.05628454,NA,NA,NA,NA,0.6969183,0.1556,0.0902,NA
"MKD","1990",5316.030441,1996227,0.57789,71.14763415,NA,NA,NA,NA,NA,NA,0.0366,NA
"MLI","1990",577.3782128,8482075,0.23322,46.46470732,NA,NA,NA,NA,NA,NA,0.2544,NA
"MLT","1990",10926.32598,354170,0.90381,75.17578049,NA,NA,NA,NA,NA,NA,0.0113,NA
"MMR","1990",NA,42007309,0.2457,58.69417073,NA,NA,NA,NA,NA,NA,0.1099,NA
"MNA","1990",5063.836792,226500949,0.5168219575,65.16551537,NA,NA,NA,NA,0.5600529,0.0115,0.0684,NA
"MNE","1990",NA,606372,0.48037,74.44336585,NA,NA,NA,NA,NA,NA,0.0166,NA
"MNG","1990",3310.861425,2184145,0.57033,60.2677561,NA,NA,NA,NA,NA,NA,0.1078,NA
"MNP","1990",NA,43972,0.89731,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MOZ","1990",242.3845605,13371971,0.25,43.12590244,NA,NA,NA,NA,NA,NA,0.2397,NA
"MRT","1990",1819.88923,2023665,0.41325,58.35880488,NA,NA,NA,NA,NA,NA,0.1181,NA
"MUS","1990",4891.145712,1058775,0.439,69.40487805,NA,NA,NA,NA,0.7986866,NA,0.0231,NA
"MWI","1990",482.4589278,9408998,0.1156,43.76602439,NA,NA,NA,NA,NA,NA,0.2424,NA
"MYS","1990",6755.131405,18211097,0.49794,70.7574878,NA,NA,NA,NA,NA,NA,0.0166,NA
"NAC","1990",23567.3622,277473326,0.7543368281,75.43126468,NA,NA,NA,NA,NA,NA,0.0109431736,NA
"NAM","1990",3694.589162,1415447,0.27656,61.22495122,NA,NA,NA,NA,NA,NA,0.0735,NA
"NCL","1990",NA,170899,0.59537,70.48536585,NA,NA,NA,NA,NA,NA,NA,NA
"NER","1990",585.3607425,7911884,0.15368,43.95119512,NA,NA,NA,NA,NA,NA,0.3282,NA
"NGA","1990",1958.68657,95617345,0.2968,46.11026829,NA,NA,NA,NA,NA,NA,0.2125,NA
"NIC","1990",1951.862766,4144564,0.52337,64.135,NA,NA,NA,NA,NA,NA,0.0669,NA
"NLD","1990",18791.58489,14951510,0.68684,76.87804878,NA,NA,NA,NA,NA,NA,0.0083,NA
"NOR","1990",18255.40152,4241473,0.71956,76.53731707,NA,NA,NA,NA,NA,NA,0.0087,NA
"NPL","1990",774.5920996,18741688,0.08854,54.19473171,NA,NA,NA,NA,NA,NA,0.1407,NA
"NRU","1990",NA,9157,1,NA,NA,NA,NA,NA,NA,NA,0.0569,NA
"NZL","1990",14855.62876,3329800,0.84742,75.37804878,NA,NA,NA,NA,NA,NA,0.0112,NA
"OED","1990",16546.89918,1066638735,0.7325589136,74.67822477,NA,NA,NA,NA,NA,NA,0.02139980054,NA
"OMN","1990",22645.24526,1812159,0.66102,67.26773171,NA,NA,NA,NA,NA,NA,0.0394,NA
"OSS","1990",NA,17443575,0.4546955511,62.37174271,NA,NA,NA,NA,0.6625031,NA,0.09932360109,NA
"PAK","1990",1975.819631,107607639,0.30576,60.11121951,NA,NA,NA,NA,NA,0.1997,0.1386,NA
"PAN","1990",4971.834633,2471010,0.53903,73.0462439,NA,NA,NA,NA,0.8877986,NA,0.0309,NA
"PER","1990",3404.117694,21826658,0.68901,65.53043902,NA,NA,NA,NA,NA,NA,0.0797,NA
"PHL","1990",2591.926921,61947340,0.4859,65.28807317,NA,NA,NA,NA,0.935739,NA,0.0582,NA
"PLW","1990",NA,15089,0.69593,69.06926829,NA,NA,NA,NA,NA,NA,0.0361,NA
"PNG","1990",1038.47601,4157903,0.14994,55.70934146,NA,NA,NA,NA,NA,NA,0.0894,NA
"POL","1990",5995.653368,38110782,0.6127,70.8902439,NA,NA,NA,NA,NA,NA,0.0173,NA
"PRE","1990",1562.541354,415481032,0.2790630344,49.46233501,NA,NA,NA,NA,0.4827709,NA,0.1863275683,NA
"PRI","1990",16336.20697,3537000,0.92942,74.16917073,NA,NA,NA,NA,0.896225,NA,NA,NA
"PRK","1990",NA,20194354,0.58384,69.34431707,NA,NA,NA,NA,NA,NA,0.0434,NA
"PRT","1990",11185.07877,9983218,0.47915,73.96585366,NA,NA,NA,NA,NA,NA,0.0147,NA
"PRY","1990",3901.573552,4213740,0.48694,68.01260976,NA,NA,NA,NA,NA,0.003,0.0465,NA
"PSE","1990",NA,1978248,0.67709,68.05287805,NA,NA,NA,NA,NA,NA,0.0444,NA
"PSS","1990",2791.905099,1694417,0.3149802728,63.67853275,NA,NA,NA,NA,NA,NA,0.03723086939,NA
"PST","1990",17863.64531,964659603,0.7408886777,75.46042293,NA,NA,NA,NA,NA,NA,0.01048657477,NA
"PYF","1990",NA,198370,0.5786,68.82860976,NA,NA,NA,NA,NA,NA,NA,NA
"QAT","1990",NA,476478,0.92786,75.11607317,NA,NA,NA,NA,NA,NA,0.0208,NA
"ROU","1990",5504.368986,23201835,0.53217,69.74121951,NA,NA,NA,NA,NA,NA,0.0377,NA
"RUS","1990",8012.802317,148292000,0.73394,68.90243902,NA,NA,NA,NA,NA,NA,0.026,NA
"RWA","1990",549.6198537,7259740,0.05416,33.48512195,NA,NA,NA,NA,NA,NA,0.1518,NA
